nonself,,,,,,,
aiA,User1,User2,User3,user,,,
5,0.284238,0.514913,0.200849,individual mind,,,
6,0.848636,0.052097,0.099267,drasticmum,,,
7,0.402724,0.402707,0.194569,individual mind,,,
8,0.381238,0.419422,0.199339,drasticmum,,,
9,0.234082,0.409245,0.356673,knackerkitten,,,
10,0.282787,0.503174,0.214039,drasticmum,,,
11,0.200554,0.638483,0.160963,individual mind,,,
12,0.340931,0.194917,0.464152,drasticmum,,,
13,0.256383,0.471972,0.271645,Raspywoodchuck,,,
14,0.146858,0.626835,0.226306,drasticmum,,,
15,0.378294,0.244387,0.377319,individual mind,,,
16,0.40549,0.334741,0.259769,knackerkitten,,,
17,0.563321,0.29281,0.143869,Raspywoodchuck,,,
18,0.130081,0.688251,0.181669,individual mind,,,
19,0.424254,0.295746,0.28,Raspywoodchuck,,,
20,0.344279,0.181075,0.474647,individual mind,,,
21,0.492773,0.298848,0.208379,knackerkitten,,,
22,0.361291,0.276289,0.36242,individual mind,,,
23,0.454592,0.396172,0.149236,individual mind,,,
24,0.336369,0.441163,0.222467,Raspywoodchuck,,,
25,0.300461,0.415742,0.283797,knackerkitten,,,
26,0.342494,0.324898,0.332608,drasticmum,,,
27,0.16959,0.436826,0.393585,knackerkitten,,,
28,0.160398,0.330152,0.50945,drasticmum,,,
29,0.633541,0.156733,0.209726,individual mind,,,
30,0.535133,0.281011,0.183856,drasticmum,,,
31,0.320592,0.431773,0.247635,individual mind,,,
32,0.219069,0.500467,0.280465,drasticmum,,,
33,0.194286,0.272132,0.533582,individual mind,,,
34,0.114046,0.15613,0.729824,Raspywoodchuck,,,
35,0.428488,0.298521,0.272991,knackerkitten,,,
36,0.003392,0.008163,0.988445,individual mind,,,
37,0.003724,0.390984,0.605292,drasticmum,,,
38,0.310289,0.346021,0.34369,drasticmum,,,
39,0.004342,0.391032,0.604626,knackerkitten,,,
40,0.415565,0.170697,0.413738,individual mind,,,
41,0.083241,0.73283,0.18393,knackerkitten,,,
42,0.342777,0.402913,0.25431,drasticmum,,,
43,0.169479,0.041631,0.78889,Raspywoodchuck,,,
children_devicesB,User1,User2,user,,,,
0,0.5,0.5,drasticmum,,,,
1,0.5,0.5,drasticmum,,,,
2,1,0,knackerkitten,,,,
3,0.653467,0.346533,Raspywoodchuck,,,,
4,0.615201,0.384799,drasticmum,,,,
5,0.569632,0.430368,knackerkitten,,,,
6,0.166857,0.833143,knackerkitten,,,,
7,0.564504,0.435496,knackerkitten,,,,
8,0.551866,0.448134,Raspywoodchuck,,,,
9,0.361884,0.638116,Raspywoodchuck,,,,
10,0.731503,0.268497,knackerkitten,,,,
11,0.482954,0.517046,drasticmum,,,,
12,0.161064,0.838936,knackerkitten,,,,
13,0.505902,0.494098,drasticmum,,,,
14,0.654097,0.345903,drasticmum,,,,
15,0.54497,0.45503,knackerkitten,,,,
16,0.328932,0.671068,drasticmum,,,,
17,0.322881,0.677119,drasticmum,,,,
18,0.343073,0.656927,knackerkitten,,,,
19,0.40727,0.59273,Raspywoodchuck,,,,
20,0.635567,0.364433,drasticmum,,,,
21,0.58415,0.41585,drasticmum,,,,
22,0.4201,0.5799,knackerkitten,,,,
